Year,Job_vacancy_rate,real_wage_growth,,,,
May-01,2.6,3.1,,,,
Jun-01,2.5,3.7,,,,
Jul-01,2.5,3.1,,,,
Aug-01,2.5,2.9,,,,
Sep-01,2.4,2.7,,,,
Oct-01,2.4,3.2,,,,
Nov-01,2.3,3,,,,
Dec-01,2.3,2,,,,
Jan-02,2.3,1.9,,,,
Feb-02,2.3,1,,,,
Mar-02,2.3,1.4,,,,
Apr-02,2.3,1.5,,,,
May-02,2.3,2.4,,,,
Jun-02,2.3,2.5,,,,
Jul-02,2.3,2.5,,,,
Aug-02,2.3,1.8,,,,
Sep-02,2.3,1.7,,,,
Oct-02,2.3,1.2,,,,
Nov-02,2.3,1.2,,,,
Dec-02,2.3,0.8,,,,
Jan-03,2.2,1,,,,
Feb-03,2.2,0.5,,,,
Mar-03,2.2,2.5,,,,
Apr-03,2.2,1.6,,,,
May-03,2.2,1.5,,,,
Jun-03,2.1,1.3,,,,
Jul-03,2.2,1.4,,,,
Aug-03,2.2,1.9,,,,
Sep-03,2.3,2.3,,,,
Oct-03,2.3,2.7,,,,
Nov-03,2.3,2.4,,,,
Dec-03,2.3,2.7,,,,
Jan-04,2.3,2.8,,,,
Feb-04,2.3,2.3,,,,
Mar-04,2.3,2.7,,,,
Apr-04,2.4,3,,,,
May-04,2.4,2.8,,,,
Jun-04,2.4,2.8,,,,
Jul-04,2.4,2.9,,,,
Aug-04,2.4,3.1,,,,
Sep-04,2.4,3.1,,,,
Oct-04,2.4,3.2,,,,
Nov-04,2.5,3.1,,,,
Dec-04,2.4,3.1,,,,
Jan-05,2.4,2.9,,,,
Feb-05,2.3,3.8,,,,
Mar-05,2.3,2.4,,,,
Apr-05,2.3,2.1,,,,
May-05,2.3,2.5,,,,
Jun-05,2.3,2.3,,,,
Jul-05,2.3,2.4,,,,
Aug-05,2.3,2.7,,,,
Sep-05,2.2,2.2,,,,
Oct-05,2.2,1.9,,,,
Nov-05,2.2,2.4,,,,
Dec-05,2.2,2.1,,,,
Jan-06,2.2,1.5,,,,
Feb-06,2.2,3.8,,,,
Mar-06,2.2,3,,,,
Apr-06,2.2,2.6,,,,
May-06,2.2,2.1,,,,
Jun-06,2.2,2.8,,,,
Jul-06,2.2,2.1,,,,
Aug-06,2.2,1.1,,,,
Sep-06,2.2,1.3,,,,
Oct-06,2.2,1.9,,,,
Nov-06,2.2,1.6,,,,
Dec-06,2.2,2.6,,,,
Jan-07,2.2,3.7,,,,
Feb-07,2.3,4.5,,,,
Mar-07,2.3,1,,,,
Apr-07,2.3,1.7,,,,
May-07,2.4,2.2,,,,
Jun-07,2.4,1.8,,,,
Jul-07,2.4,2.7,,,,
Aug-07,2.5,3.2,,,,
Sep-07,2.5,3.4,,,,
Oct-07,2.5,2.1,,,,
Nov-07,2.5,2.3,,,,
Dec-07,2.4,0.7,,,,
Jan-08,2.4,1.5,,,,
Feb-08,2.5,1.8,,,,
Mar-08,2.5,2.1,,,,
Apr-08,2.4,1.4,,,,
May-08,2.3,0.9,,,,
Jun-08,2.3,-0.3,,,,
Jul-08,2.2,-0.9,,,,
Aug-08,2.2,-1.3,,,,
Sep-08,2.1,-2.1,,,,
Oct-08,2,-0.9,,,,
Nov-08,1.9,-1.5,,,,
Dec-08,2.8,-0.4,,,,
Jan-09,1.7,-4,,,,
Feb-09,1.7,-8.3,,,,
Mar-09,1.7,-4.8,,,,
Apr-09,1.6,-0.2,,,,
May-09,1.6,-1.2,,,,
Jun-09,1.6,-0.7,,,,
Jul-09,1.6,-1.2,,,,
Aug-09,1.6,-0.8,,,,
Sep-09,1.6,-0.2,,,,
Oct-09,1.6,-1,,,,
Nov-09,1.7,-0.7,,,,
Dec-09,1.7,-0.9,,,,
Jan-10,1.7,-1,,,,
Feb-10,1.7,3.9,,,,
Mar-10,1.7,3.6,,,,
Apr-10,1.8,-2.3,,,,
May-10,1.8,-1.2,,,,
Jun-10,1.8,-0.9,,,,
Jul-10,1.7,-0.6,,,,
Aug-10,1.7,-0.5,,,,
Sep-10,1.7,-0.4,,,,
Oct-10,1.8,-0.4,,,,
Nov-10,1.8,-0.6,,,,
Dec-10,1.8,-1.6,,,,
Jan-11,1.8,1.5,,,,
Feb-11,1.8,-1.6,,,,
Mar-11,1.7,-1.5,,,,
Apr-11,1.7,-1.4,,,,
May-11,1.7,-1.5,,,,
Jun-11,1.7,-0.9,,,,
Jul-11,1.7,-1.1,,,,
Aug-11,1.7,-2,,,,
Sep-11,1.7,-2.6,,,,
Oct-11,1.7,-2.2,,,,
Nov-11,1.7,-2.2,,,,
Dec-11,1.7,-1.5,,,,
Jan-12,1.7,-2.6,,,,
Feb-12,1.7,-1.9,,,,
Mar-12,1.7,-2.4,,,,
Apr-12,1.7,-0.8,,,,
May-12,1.7,-0.9,,,,
Jun-12,1.7,-1.2,,,,
Jul-12,1.7,-1,,,,
Aug-12,1.8,-0.1,,,,
Sep-12,1.8,-0.4,,,,
Oct-12,1.8,-1,,,,
Nov-12,1.8,-0.9,,,,
Dec-12,1.8,-1.1,,,,
Jan-13,1.8,-1.1,,,,
Feb-13,1.8,-1.2,,,,
Mar-13,1.8,-2.9,,,,
Apr-13,1.8,0.9,,,,
May-13,1.9,-0.8,,,,
Jun-13,1.9,-1.4,,,,
Jul-13,1.9,-1.6,,,,
Aug-13,1.9,-1.8,,,,
Sep-13,1.9,-1.4,,,,
Oct-13,2,-1.1,,,,
Nov-13,2,-1.1,,,,
Dec-13,2.1,-0.5,,,,
Jan-14,2.1,-0.1,,,,
Feb-14,2.1,0.4,,,,
Mar-14,2.1,-0.5,,,,
Apr-14,2.2,-3,,,,
May-14,2.2,-1.2,,,,
Jun-14,2.3,-1,,,,
Jul-14,2.3,-1.2,,,,
Aug-14,2.4,-0.7,,,,
Sep-14,2.4,0.1,,,,
Oct-14,2.4,0.6,,,,
Nov-14,2.5,0.7,,,,
Dec-14,2.5,1.6,,,,
Jan-15,2.5,0.9,,,,
Feb-15,2.5,1,,,,
Mar-15,2.5,3.7,,,,
Apr-15,2.5,2.2,,,,
May-15,2.5,2.2,,,,
Jun-15,2.5,2,,,,
Jul-15,2.5,3.1,,,,
Aug-15,2.5,2.8,,,,
Sep-15,2.6,1.9,,,,
Oct-15,2.5,1.6,,,,
Nov-15,2.6,1.6,,,,
Jan-16,2.6,2,,,,
Feb-16,2.6,0.9,,,,
Mar-16,2.5,1.6,,,,
Apr-16,2.5,1.8,,,,
May-16,2.5,1.7,,,,
Jun-16,2.5,1.7,,,,
Jul-16,2.5,1.6,,,,
Aug-16,2.5,1.2,,,,
Sep-16,2.5,1.2,,,,
Oct-16,2.6,1.4,,,,
Nov-16,2.6,1.3,,,,
Dec-16,2.6,0.1,,,,
Jan-17,2.6,-0.2,,,,
Feb-17,2.6,0.4,,,,
Mar-17,2.6,-0.2,,,,
Apr-17,2.6,-0.8,,,,
May-17,2.6,-0.7,,,,
Jun-17,2.6,0.4,,,,
Jul-17,2.6,-1,,,,
