Country Name,CO2 emissions per capita (metric tonnes),GDP per capita (Current US$)
Afghanistan,0.159824372,516.7
Angola,0.792137069,2137.909393
Albania,1.69224832,6494.385713
Andorra,6.481217432,43047.68627
United Arab Emirates,19.32956328,"36,284.60"
Argentina,3.740650291,10729.23258
Armenia,2.086060678,4670.008798
Antigua and Barbuda,5.354476455,14900.7974
Australia,15.23826715,59934.12941
Austria,7.293984252,53267.93275
Azerbaijan,3.542397828,5384.034998
Burundi,0.062442671,236.7954142
Belgium,8.095583954,51767.78857
Benin,0.618583746,1428.447177
Burkina Faso,0.246046246,918.1525819
Bangladesh,0.556529455,2503.04388
Bulgaria,5.61085728,11634.97102
Bahrain,20.26610279,22232.32523
"Bahamas, The",7.291661097,28239.36671
Bosnia and Herzegovina,6.382918043,6916.438315
Belarus,6.122237765,7303.696266
Belize,1.639550009,4420.491372
Bolivia,1.940398005,3414.892849
Brazil,2.057810839,7518.834284
Barbados,4.355082032,17033.93719
Brunei Darussalam,16.13215855,31722.66014
Botswana,3.147107071,7347.552382
Central African Republic,0.050577648,511.4847456
Canada,15.43061283,52051.35146
Switzerland,4.359041462,93457.4404
Chile,4.821118299,16502.83857
China,7.605936961,12556.33312
Cote d'Ivoire,0.421129515,2578.760412
Cameroon,0.364424922,1661.702105
"Congo, Dem. Rep.",0.036985586,584.1064092
"Congo, Rep.",1.349316017,2213.880863
Colombia,1.609870831,6131.225922
Comoros,0.376076363,1494.687693
Cabo Verde,1.181955675,3445.756536
Costa Rica,1.632471558,12508.61563
Cyprus,5.998795283,30798.47656
Czechia,9.022786158,26378.49996
Germany,7.911621016,50801.78671
Djibouti,0.431407701,3363.712048
Dominica,2.367424267,7559.975039
Denmark,5.107988509,67803.0471
Dominican Republic,2.535627952,8603.789905
Algeria,3.977650459,3765.034625
Ecuador,2.261469817,5934.875496
"Egypt, Arab Rep.",2.484059911,3876.359594
Spain,5.09135092,30115.70589
Estonia,7.672277909,27280.65844
Ethiopia,0.163813429,943.9656842
Finland,7.372854761,53982.61427
Fiji,1.831553275,5085.971642
France,4.468770089,43518.53851
"Micronesia, Fed. Sts.",1.581569507,3476.650895
Gabon,2.416484011,8016.990495
United Kingdom,5.220514488,47334.35531
Georgia,2.717624226,5042.385528
Ghana,0.658823541,2445.290749
Guinea,0.309288541,1174.352972
"Gambia, The",0.247050718,835.5944214
Guinea-Bissau,0.171792958,812.962373
Equatorial Guinea,3.945480032,8462.28633
Greece,5.59618907,20276.54467
Grenada,2.946376075,9928.621733
Guatemala,1.162970924,5025.575573
Guyana,3.640892855,9374.80457
Honduras,1.048622992,2831.033021
Croatia,4.063707833,17398.76598
Haiti,0.294768414,1814.674048
Hungary,4.74663103,18772.67329
Indonesia,2.290397148,4291.812554
India,1.797620119,2277.434347
Ireland,7.245143221,99152.10257
Iraq,4.440624129,5048.387813
Iceland,4.548442258,68383.76534
Israel,6.919593718,51430.07968
Italy,5.311315442,35551.28499
Jamaica,2.845730012,4586.650509
Jordan,2.438204112,4405.839424
Japan,8.540980205,39285.16311
Kazakhstan,11.45693783,10041.48984
Kenya,0.423783898,2006.83224
Kyrgyz Republic,1.556643256,1276.242643
Cambodia,0.98140655,1590.95666
St. Kitts and Nevis,4.731801491,18230.13235
"Korea, Rep.",11.79932538,34757.72007
Lao PDR,2.609681834,2551.326081
Lebanon,4.076894274,2670.441956
Liberia,0.23899343,673.0890671
Libya,8.380729344,6018.445207
St. Lucia,2.95412906,9570.995457
Sri Lanka,1.090675627,3814.715219
Lesotho,0.362307409,1166.461667
Lithuania,4.198076022,23433.39091
Luxembourg,15.30642656,135682.7943
Latvia,3.955435862,20642.16792
Morocco,1.959872285,3496.758301
Moldova,3.324610168,5314.531461
Madagascar,0.152766255,514.9058618
Maldives,3.973956262,8994.641352
Mexico,3.521600048,9926.422768
Marshall Islands,3.061693238,4170.981918
North Macedonia,3.996737213,6720.896285
Mali,0.29657102,917.9130633
Malta,3.293245606,33257.42203
Myanmar,0.679428523,1187.238484
Montenegro,4.179875994,9367.016884
Mongolia,7.153120086,4534.918589
Mozambique,0.246986412,500.4448085
Mauritania,0.872793555,1723.013866
Mauritius,3.294591006,8812.108249
Malawi,0.077836684,642.6569158
Malaysia,7.927126037,11371.09902
North America,14.75353008,67514.02312
Namibia,1.691705428,4729.270937
Niger,0.092232251,594.9251089
Nigeria,0.573636206,2085.030765
Nicaragua,0.800549594,2090.753461
Netherlands,8.437074627,58061.00167
