Country Name,GDP per capita,Life expectancy,Population_2020
Aruba,23384.29879,76.434,106766
Afghanistan,516.7478708,65.173,38928341
Angola,1631.431691,61.487,32866268
Albania,5332.160475,78.686,2837849
United Arab Emirates,36284.55524,78.12,9890400
Argentina,8585.694742,76.813,45376763
Armenia,4266.018074,75.224,2963234
Antigua and Barbuda,13992.74448,77.146,97928
Australia,51680.31652,83.2,25693267
Austria,48588.65938,81.19268293,8916864
Azerbaijan,4229.910649,73.123,10093121
Burundi,233.8375103,61.916,11890781
Belgium,45189.3669,80.79512195,11544241
Benin,1291.040972,62.077,12123198
Burkina Faso,857.9327297,61.981,20903278
Bangladesh,2270.347535,72.868,164689383
Bulgaria,10079.20338,73.60731707,6934015
Bahrain,20406.50233,77.419,1701583
"Bahamas, The",24665.09683,74.053,393248
Bosnia and Herzegovina,6082.36673,77.545,3280815
Belarus,6555.426818,74.22682927,9379952
Belize,3987.796596,74.754,397621
Bermuda,107706.0398,82.05609756,63893
Bolivia,3137.989617,71.771,11673029
Brazil,6814.875632,76.084,212559409
Barbados,16318.74811,79.308,287371
Brunei Darussalam,27442.95383,75.998,437483
Bhutan,3000.777986,72.08,771612
Botswana,6348.832318,69.793,2351625
Central African Republic,481.7462966,53.679,4829764
Canada,43258.26387,81.74878049,38037204
Switzerland,87100.41482,83.1,8636561
Chile,13220.57076,80.329,19116209
China,10408.66976,77.097,1411100000
Cote d'Ivoire,2325.723705,58.104,26378275
Cameroon,1537.130218,59.626,26545864
"Congo, Dem. Rep.",543.9503925,60.971,89561404
"Congo, Rep.",1899.778237,64.804,5518092
Colombia,5312.198556,77.46,50882884
Comoros,1407.40927,64.525,869595
Cabo Verde,3064.272388,73.166,555988
Costa Rica,12201.92603,80.465,5094114
Cuba,9477.852873,78.892,11326616
Cyprus,27681.56641,81.135,1207361
Czechia,22933.49959,78.22682927,10697858
Germany,46252.6893,80.94146341,83160871
Djibouti,3219.701128,67.49,988002
Denmark,61063.31643,81.55121951,5831404
Dominican Republic,7268.19691,74.257,10847904
Algeria,3306.858208,77.063,43851043
Ecuador,5627.77228,77.216,17643060
"Egypt, Arab Rep.",3569.206841,72.15,102334403
Spain,27056.42175,82.33414634,47363419
Estonia,23054.35849,78.34634146,1329479
Ethiopia,936.4507576,66.953,114963583
Finland,49160.83715,82.13170732,5529543
Fiji,5102.843929,67.561,896444
France,39037.12263,82.17560976,67379908
Faroe Islands,66320.6792,83.09268293,48865
"Micronesia, Fed. Sts.",3542.969788,68.002,115021
Gabon,6881.714225,66.69,2225728
United Kingdom,41098.07865,80.90243902,67081000
Georgia,4255.742993,73.919,3722716
Ghana,2254.153889,64.347,31072945
Guinea,1078.950006,61.962,13132792
"Gambia, The",757.4131116,62.383,2416664
Guinea-Bissau,727.5201717,58.634,1967998
Equatorial Guinea,7198.335884,59.057,1402985
Greece,17647.23269,81.08780488,10700556
Grenada,9273.199292,72.426,112519
Greenland,54570.37502,71.40463415,56367
Guatemala,4603.339643,74.529,16858333
Guam,34624.34013,80.277,168783
Guyana,6955.939217,70.023,786559
"Hong Kong SAR, China",46100.97587,85.38780488,7481000
Honduras,2405.732848,75.448,9904608
Croatia,14132.48656,77.72439024,4047680
Haiti,1272.367992,64.315,11402533
Hungary,16075.97327,75.61707317,9750149
Indonesia,3870.55762,71.908,273523621
India ,1933.10567,70.2,1380004385
Ireland,85422.54287,82.20487805,4985674
"Iran, Islamic Rep.",2756.749977,76.87,83992953
Iraq,4583.747494,70.748,40222503
Iceland,59264.03409,83.06585366,366463
Israel,44177.57122,82.7,9215100
Italy,31834.97262,82.34390244,59449527
Jamaica,4664.530242,74.586,2961161
Jordan,4282.765825,74.655,10203140
Japan,39918.16756,84.61560976,126261000
Kazakhstan,9121.637138,71.37,18755666
Kenya,1872.124026,66.991,53771300
Kyrgyz Republic,1182.5217,71.8,6579900
Cambodia,1547.511388,70.054,16718971
Kiribati,1514.591059,68.611,119446
"Korea, Rep.",31597.50465,83.42682927,51836239
Kuwait,24811.76971,75.586,4270563
Lao PDR,2608.982833,68.219,7275556
Lebanon,3801.792743,79.004,6825442
Liberia,601.0630058,64.423,5057677
Libya,7614.325449,73.082,6871287
St. Lucia,8804.561089,76.343,183629
Sri Lanka,3694.040948,77.144,21919000
Lesotho,1050.631634,54.836,2142252
Lithuania,20232.30204,74.92926829,2794885
Luxembourg,116356.158,81.74146341,630419
Latvia,17703.95344,75.38780488,1900449
"Macao SAR, China",39403.13591,84.37,649342
Morocco,3058.69165,76.901,36910558
Moldova,4525.759654,72.006,2620495
Madagascar,477.6130414,67.39,27691019
Maldives,6924.105745,79.208,540542
Mexico,8431.665017,75.131,128932753
North Macedonia,5846.465899,75.69317073,2072531
Mali,862.453012,59.692,20250834
Malta,28946.46268,82.65365854,515332
Myanmar,1450.662673,67.363,54409794
Montenegro,7694.633759,75.93170732,621306
Mongolia,4060.950518,70.056,3278292
Mozambique,448.8438914,61.387,31255435
Mauritania,1702.486959,65.129,4649660
Mauritius,8632.752859,74.17707317,1265740
Malawi,636.2863096,64.694,19129955
Malaysia,10412.34767,76.306,32365998
Namibia,4157.019506,64.045,2540916
New Caledonia,34694.5504,77.77117073,271960
Niger,567.6698923,62.792,24206636
Nigeria,2097.092473,55.018,206139587
Nicaragua,1900.043594,74.697,6624554
Netherlands,52396.03221,81.4097561,17441500
Norway,67329.67779,83.2097561,5379475
Nepal,1147.471971,71.067,29136808
New Zealand,41596.5055,82.05609756,5090200
Oman,14485.38612,78.078,5106622
Pakistan,1359.514522,67.428,220892331
Panama,12509.83529,78.68,4314768
Peru,6117.493571,76.947,32971846
Philippines,3301.218603,71.36,109581085
Papua New Guinea,2757.011019,64.725,8947027
Poland,15742.45373,76.6,37899070
Puerto Rico,31429.86612,80.08746341,3281538
Portugal,22194.56611,80.97560976,10297081
Paraguay,4967.687212,74.363,7132530
West Bank and Gaza,3233.568638,74.213,4803269
French Polynesia,20182.5845,77.836,280904
Qatar,50124.38594,80.363,2881060
Romania,12956.56625,74.35365854,19257520
Russian Federation,10161.98242,71.33878049,144073139
Rwanda,786.3018148,69.329,12952209
Saudi Arabia,20203.66888,75.28,34813867
Sudan,615.4620972,65.53,43849269
Senegal,1462.808169,68.213,16743930
Singapore,60729.45035,83.74390244,5685807
Solomon Islands,2250.601164,73.132,686878
Sierra Leone,509.376594,55.066,7976985
El Salvador,3798.636521,73.533,6486201
Somalia,438.2551656,57.697,15893219
Serbia,7730.691746,74.22926829,6899126
Sao Tome and Principe,2157.840446,70.583,219161
Suriname,4916.605666,71.802,586634
Slovak Republic,19266.51357,76.86585366,5458827
Slovenia,25489.50023,80.53170732,2102419
Sweden,52300.2062,82.40731707,10353442
Eswatini,3434.721798,60.721,1160164
Seychelles,12193.88687,77.23658537,98462
Chad,652.3492096,54.505,16425859
Togo,914.9507925,61.34,8278737
Thailand,7158.766684,77.344,69799978
Tajikistan,852.8309878,71.301,9537642
Timor-Leste,1442.730738,69.712,1318442
Tonga,4624.823449,71.018,105697
Trinidad and Tobago,15285.94049,73.628,1399491
Tunisia,3597.218525,76.891,11818618
Turkiye,8536.43332,77.928,84339067
Tanzania,1076.469727,65.815,59734213
Uganda,822.0276815,63.713,45741000
Ukraine,3751.740723,71.18512195,44132049
Uruguay,15418.81531,78.056,3473727
United States,63027.67953,77.2804878,331501080
Uzbekistan,1749.655815,71.848,34232050
St. Vincent and the Grenadines,7860.821354,72.658,110947
Virgin Islands (U.S.),39552.1686,79.8195122,106290
Vietnam,3526.274579,75.493,97338583
Vanuatu,2919.8368,70.623,307150
Samoa,4068.078865,73.45,198410
Kosovo,4310.811183,71.08780488,1790133
"Yemen, Rep.",631.68149,66.181,29825968
South Africa,5655.867654,64.379,59308690
Zambia,985.132436,64.194,18383956
Zimbabwe,1214.50982,61.738,14862927
